Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,frameRate,participant
272,1386.786878,1.08341112,65,1.917379703,115,1.950676031,117,2.484464744,149,2.517801768,151,2,3.518587459,nope,0,0,0.155710015,-1,-1,59.94404568,322
273,1390.30626,1.150257852,69,1.700647617,102,1.734002239,104,2.351070453,141,2.384482636,143,7,2.835204129,a,0,1,0.154670515,-1,-1,59.94404568,322
274,1393.142132,1.166593096,70,1.683747028,101,1.71713098,103,2.300867302,138,2.334219358,140,5,2.768093057,a,0,1,0.154670515,-1,-1,59.94404568,322
275,1395.91089,1.200124435,72,1.6504507,99,1.68378699,101,2.584435121,155,2.617784244,157,24,3.201836235,a,0,1,0.154670515,-1,-1,59.94404568,322
276,1399.113391,1.166651757,70,1.717080752,103,1.750444907,105,2.567868165,154,2.601215822,156,19,3.051755466,l,0,1,0.154670515,1,1,59.94404568,322
277,1402.16582,1.04983322,63,1.867221648,112,1.900582137,114,2.584369494,155,2.617819073,157,11,2.968391641,l,0,1,0.154670515,1,1,59.94404568,322
278,1405.134899,1.149913218,69,1.833777201,110,1.867137323,112,2.784456898,167,2.81781592,169,25,3.235073169,l,0,1,0.154670515,1,1,59.94404568,322
279,1408.370664,1.200044142,72,1.700416273,102,1.733729099,104,3.001395031,180,3.034745254,182,46,3.501803091,a,0,1,0.154670515,1,-1,59.94404568,322
280,1411.873184,1.000126121,60,1.467113199,88,1.500562779,90,2.384601424,143,2.417928916,145,23,2.935326291,l,0,1,0.154670515,-1,1,59.94404568,322
281,1414.809169,1.083113049,65,1.766975566,106,1.800331654,108,2.751074412,165,2.784436734,167,27,3.785234156,nope,0,0,0.154670515,-1,-1,59.94404568,322
282,1418.5951,1.083596269,65,1.917576584,115,1.950973735,117,2.584757389,155,2.618028053,157,8,3.23546913,l,0,1,0.154670515,1,1,59.94404568,322
283,1421.831234,1.083292698,65,1.550240913,93,1.583634398,95,2.667796012,160,2.701144769,162,35,3.70198802,nope,0,1,0,1,1,59.94404568,322
284,1425.53389,1.100197321,66,1.634005099,98,1.66730986,100,2.668094083,160,2.701428174,162,30,3.252131409,a,0,1,0.154670515,-1,-1,59.94404568,322
285,1428.786685,1.149915418,69,1.783862223,107,1.817151952,109,3.018014781,181,3.051456295,183,42,3.468754239,l,0,1,0.154670515,1,1,59.94404568,322
286,1432.256159,1.083138713,65,1.650222288,99,1.683707431,101,2.6343402,158,2.667698489,160,27,3.485322661,a,0,1,0.154670515,-1,-1,59.94404568,322
287,1435.742144,1.166684387,70,1.633753957,98,1.666986491,100,2.317508317,139,2.350960463,141,9,2.885006185,a,0,1,0.154670515,1,-1,59.94404568,322
288,1438.627825,1.216612198,73,1.933810271,116,1.967270483,118,3.151401374,189,3.184873685,191,41,3.718829948,l,0,1,0.154670515,1,1,59.94404568,322
289,1442.347322,1.199883191,72,1.800419279,108,1.833750804,110,2.884538364,173,2.917900319,175,33,3.918788299,nope,0,0,0.154670515,-1,-1,59.94404568,322
290,1446.266853,1.166817474,70,1.834047775,110,1.867456292,112,2.918232853,175,2.951546413,177,33,3.418900855,l,0,1,0.153631015,1,1,59.94404568,322
291,1449.686425,1.033017322,62,1.867070963,112,1.900307897,114,2.63423351,158,2.667770348,160,14,3.084849047,l,0,1,0.153631015,1,1,59.94404568,322
292,1452.772069,1.18348012,71,1.717184142,103,1.750481203,105,2.384420309,143,2.417740834,145,8,3.418476296,nope,0,0,0.153631015,-1,-1,59.94404568,322
293,1456.191226,1.133492182,68,1.617213766,97,1.650621916,99,2.801459778,168,2.834881494,170,39,3.385260627,a,0,1,0.153631015,-1,-1,59.94404568,322
294,1459.577423,1.183439791,71,1.900666828,114,1.933918794,116,3.184963509,191,3.218260204,193,45,3.568774111,l,0,1,0.153631015,1,1,59.94404568,322
295,1463.146879,1.033288262,62,1.75044894,105,1.783807962,107,2.868071866,172,2.901435287,174,35,3.335319985,l,0,1,0.153631015,1,1,59.94404568,322
296,1466.482879,1.216676725,73,1.81713472,109,1.850579534,111,2.434303023,146,2.467658379,148,5,3.468538294,nope,0,0,0.153631015,1,-1,59.94404568,322
297,1469.952091,1.000021631,60,1.5171378,91,1.550506354,93,2.484521572,149,2.51792569,151,26,2.85175202,l,0,1,0.153631015,1,1,59.94404568,322
298,1472.804516,1.116558596,67,1.750496968,105,1.783763599,107,2.551145759,153,2.584380493,155,16,3.001661572,l,0,1,0.153631015,1,1,59.94404568,322
299,1475.806841,0.999849315,60,1.783795863,107,1.817138386,109,2.384287588,143,2.417630478,145,4,2.818256611,l,0,1,0.153631015,1,1,59.94404568,322
